,Fold,k,sigma,epsilon,Error
426,8,6,10,,
427,8,6,11,,
428,8,6,12,,
429,8,6,13,,
430,8,7,4,,
431,8,7,5,,
432,8,7,6,,
433,8,7,7,,
434,8,7,8,,
435,8,7,9,,
436,8,7,10,,
437,8,7,11,,
438,8,7,12,,
439,8,7,13,,
440,8,8,4,,
441,8,8,5,,
442,8,8,6,,
443,8,8,7,,
444,8,8,8,,
445,8,8,9,,
446,8,8,10,,
447,8,8,11,,
448,8,8,12,,
449,8,8,13,,
450,9,4,4,,
451,9,4,5,,
452,9,4,6,,
453,9,4,7,,
454,9,4,8,,
455,9,4,9,,
456,9,4,10,,
457,9,4,11,,
458,9,4,12,,
459,9,4,13,,
460,9,5,4,,
461,9,5,5,,
462,9,5,6,,
463,9,5,7,,
464,9,5,8,,
465,9,5,9,,
466,9,5,10,,
467,9,5,11,,
468,9,5,12,,
469,9,5,13,,
470,9,6,4,,
471,9,6,5,,
472,9,6,6,,
473,9,6,7,,
474,9,6,8,,
475,9,6,9,,
476,9,6,10,,
477,9,6,11,,
478,9,6,12,,
479,9,6,13,,
480,9,7,4,,
481,9,7,5,,
482,9,7,6,,
483,9,7,7,,
484,9,7,8,,
485,9,7,9,,
486,9,7,10,,
487,9,7,11,,
488,9,7,12,,
489,9,7,13,,
490,9,8,4,,
491,9,8,5,,
492,9,8,6,,
493,9,8,7,,
494,9,8,8,,
495,9,8,9,,
496,9,8,10,,
497,9,8,11,,
498,9,8,12,,
499,9,8,13,,
