,Fold,k,sigma,epsilon,Error
90,1,8,4,2,26899.30789810167
91,1,8,4,3,26899.30789810167
92,1,8,4,4,26899.30789810167
93,1,8,4,5,26899.30789810167
94,1,8,4,6,26899.30789810167
95,1,8,13,2,29445.16366625258
96,1,8,13,3,29445.16366625258
97,1,8,13,4,29445.16366625258
98,1,8,13,5,29445.16366625258
99,1,8,13,6,29445.16366625258
100,2,4,4,2,26664.56232284311
101,2,4,4,3,26664.56232284311
102,2,4,4,4,26664.56232284311
103,2,4,4,5,26664.56232284311
104,2,4,4,6,26664.56232284311
105,2,4,13,2,28767.33159798329
106,2,4,13,3,28767.33159798329
107,2,4,13,4,28767.33159798329
108,2,4,13,5,28767.33159798329
109,2,4,13,6,28767.33159798329
110,2,5,4,2,26648.44148844941
111,2,5,4,3,26648.44148844941
112,2,5,4,4,26648.44148844941
113,2,5,4,5,26648.44148844941
114,2,5,4,6,26648.44148844941
115,2,5,13,2,29084.026659896685
116,2,5,13,3,29084.026659896685
117,2,5,13,4,29084.026659896685
118,2,5,13,5,29084.026659896685
119,2,5,13,6,29084.026659896685
120,2,6,4,2,26657.27598234233
121,2,6,4,3,26657.27598234233
122,2,6,4,4,26657.27598234233
123,2,6,4,5,26657.27598234233
124,2,6,4,6,26657.27598234233
125,2,6,13,2,29550.29649573248
126,2,6,13,3,29550.29649573248
127,2,6,13,4,29550.29649573248
128,2,6,13,5,29550.29649573248
129,2,6,13,6,29550.29649573248
130,2,7,4,2,26677.99404752225
131,2,7,4,3,26677.99404752225
132,2,7,4,4,26677.99404752225
133,2,7,4,5,26677.99404752225
134,2,7,4,6,26677.99404752225
135,2,7,13,2,29412.09855997313
136,2,7,13,3,29412.09855997313
137,2,7,13,4,29412.09855997313
138,2,7,13,5,29412.09855997313
139,2,7,13,6,29412.09855997313
140,2,8,4,2,26681.538241256
141,2,8,4,3,26681.538241256
142,2,8,4,4,26681.538241256
143,2,8,4,5,26681.538241256
144,2,8,4,6,26681.538241256
145,2,8,13,2,29479.910907090583
146,2,8,13,3,29479.910907090583
147,2,8,13,4,29479.910907090583
148,2,8,13,5,29479.910907090583
149,2,8,13,6,29479.910907090583
150,3,4,4,2,26753.858374103736
151,3,4,4,3,26753.858374103736
152,3,4,4,4,26753.858374103736
153,3,4,4,5,26753.858374103736
154,3,4,4,6,26753.858374103736
155,3,4,13,2,28650.55899693234
156,3,4,13,3,28650.55899693234
157,3,4,13,4,28650.55899693234
158,3,4,13,5,28650.55899693234
159,3,4,13,6,28650.55899693234
160,3,5,4,2,26736.22583698964
161,3,5,4,3,26736.22583698964
162,3,5,4,4,26736.22583698964
163,3,5,4,5,26736.22583698964
164,3,5,4,6,26736.22583698964
165,3,5,13,2,29074.16812266353
166,3,5,13,3,29074.16812266353
167,3,5,13,4,29074.16812266353
