,Fold,k,sigma,Error
70,1,6,4,13223.013888327983
71,1,6,5,13443.55512475716
72,1,6,6,13725.859187889717
73,1,6,7,13925.693444136574
74,1,6,8,13553.398891444402
75,1,6,9,14647.9960125813
76,1,6,10,15081.788170581043
77,1,6,11,15405.664510086955
78,1,6,12,15162.183817487448
79,1,6,13,15969.031602951402
80,1,7,4,14372.54315025915
81,1,7,5,13408.3010314633
82,1,7,6,13675.02507694419
83,1,7,7,13977.55555391726
84,1,7,8,14512.064488565087
85,1,7,9,14722.849738269866
86,1,7,10,15066.094142560414
87,1,7,11,15476.997403912215
88,1,7,12,16035.873827154675
89,1,7,13,16150.880678655863
90,1,8,4,12854.08731195784
91,1,8,5,13852.804885594927
92,1,8,6,14199.960502460848
93,1,8,7,13198.665473762088
94,1,8,8,14555.463777420207
95,1,8,9,14943.220475045648
96,1,8,10,15082.864845870448
97,1,8,11,15587.53484332783
98,1,8,12,15232.712560500431
99,1,8,13,16629.613999874444
100,2,4,4,13437.76945416162
101,2,4,5,13147.944760699787
102,2,4,6,14315.2068620373
103,2,4,7,14075.107843767766
104,2,4,8,13514.692098458714
105,2,4,9,14599.473434917263
106,2,4,10,14915.26437732236
107,2,4,11,14509.523170966006
108,2,4,12,15800.39706216663
109,2,4,13,16050.713351740866
110,2,5,4,13398.090757174608
111,2,5,5,13559.753950854472
112,2,5,6,13833.83106339125
113,2,5,7,13872.41179601494
114,2,5,8,13803.72652585597
115,2,5,9,14580.060134178017
116,2,5,10,14864.798213365964
117,2,5,11,14280.688106387192
118,2,5,12,14836.080831358684
119,2,5,13,16056.990079167876
120,2,6,4,13583.043160922054
121,2,6,5,13974.465864775391
122,2,6,6,14096.634337519168
123,2,6,7,14065.292762146792
124,2,6,8,14513.303660168927
125,2,6,9,14596.6734517056
126,2,6,10,14903.185975454584
127,2,6,11,15135.007657413058
128,2,6,12,12865.68136911135
129,2,6,13,15678.580204392152
130,2,7,4,14622.609885376316
131,2,7,5,13898.741216124236
132,2,7,6,14308.62362448334
133,2,7,7,14060.374581767224
134,2,7,8,14315.981760874212
135,2,7,9,14686.051409147252
136,2,7,10,14927.844248892512
137,2,7,11,16227.961043481968
138,2,7,12,15473.910457038111
139,2,7,13,15880.681388573832
140,2,8,4,13387.502702135074
141,2,8,5,13604.46533762578
142,2,8,6,13260.792231364134
143,2,8,7,14095.211173597172
144,2,8,8,14301.761080624869
145,2,8,9,14596.337595341214
146,2,8,10,14985.725768077877
147,2,8,11,15196.15740222264
148,2,8,12,15411.214060364891
149,2,8,13,15808.36413660592
150,3,4,4,13677.983940553167
151,3,4,5,13845.334698470495
152,3,4,6,14105.01573827023
153,3,4,7,14726.110193660641
154,3,4,8,14883.883888635328
155,3,4,9,15062.606983125706
156,3,4,10,15855.023901322958
157,3,4,11,16021.923625026084
158,3,4,12,16467.04890493219
159,3,4,13,16876.77437954811
160,3,5,4,13678.51632605367
161,3,5,5,13921.246682827386
162,3,5,6,14155.217205817959
163,3,5,7,14724.549046309772
164,3,5,8,15176.303187780986
165,3,5,9,15595.68948789587
166,3,5,10,15756.377538107183
167,3,5,11,16054.351028534778
168,3,5,12,16170.431214957058
169,3,5,13,18668.97347160171
170,3,6,4,13714.420051164456
171,3,6,5,13866.513711785898
172,3,6,6,14105.401614815944
173,3,6,7,14030.873843597683
174,3,6,8,14964.17196587046
175,3,6,9,14348.11377757898
176,3,6,10,15449.325178031406
177,3,6,11,15428.819974526918
178,3,6,12,15422.897902440793
179,3,6,13,16897.256079341478
180,3,7,4,
181,3,7,5,
182,3,7,6,
183,3,7,7,
184,3,7,8,
185,3,7,9,
186,3,7,10,
187,3,7,11,
188,3,7,12,
189,3,7,13,
190,3,8,4,
191,3,8,5,
192,3,8,6,
193,3,8,7,
194,3,8,8,
195,3,8,9,
196,3,8,10,
197,3,8,11,
198,3,8,12,
199,3,8,13,
200,4,4,4,
201,4,4,5,
202,4,4,6,
203,4,4,7,
204,4,4,8,
205,4,4,9,
206,4,4,10,
207,4,4,11,
208,4,4,12,
209,4,4,13,
210,4,5,4,
211,4,5,5,
212,4,5,6,
213,4,5,7,
214,4,5,8,
215,4,5,9,
216,4,5,10,
217,4,5,11,
218,4,5,12,
219,4,5,13,
220,4,6,4,
221,4,6,5,
222,4,6,6,
223,4,6,7,
224,4,6,8,
225,4,6,9,
226,4,6,10,
227,4,6,11,
228,4,6,12,
229,4,6,13,
230,4,7,4,
231,4,7,5,
232,4,7,6,
