,Fold,k,sigma,epsilon,Error
186,3,7,13,3,22.790580410229005
187,3,7,13,4,22.790580410229005
188,3,7,13,5,22.790580410229005
189,3,7,13,6,22.790580410229005
190,3,8,4,2,21.37029771822805
191,3,8,4,3,21.37029771822805
192,3,8,4,4,21.37029771822805
193,3,8,4,5,21.37029771822805
194,3,8,4,6,21.37029771822805
195,3,8,13,2,21.425929986020225
196,3,8,13,3,21.425929986020225
197,3,8,13,4,21.425929986020225
198,3,8,13,5,21.425929986020225
199,3,8,13,6,21.425929986020225
200,4,4,4,2,23.556244876273933
201,4,4,4,3,24.064397853513555
202,4,4,4,4,24.271172274709823
203,4,4,4,5,24.37941468973916
204,4,4,4,6,24.37941468973916
205,4,4,13,2,23.56778831897988
206,4,4,13,3,24.078658081218144
207,4,4,13,4,24.285074407081545
208,4,4,13,5,24.388225174360336
209,4,4,13,6,24.388225174360336
210,4,5,4,2,22.12373635872359
211,4,5,4,3,22.520782453808845
212,4,5,4,4,22.520782453808845
213,4,5,4,5,22.520782453808845
214,4,5,4,6,22.520782453808845
215,4,5,13,2,21.8665868300002
216,4,5,13,3,22.41403613112796
217,4,5,13,4,22.41403613112796
218,4,5,13,5,22.41403613112796
219,4,5,13,6,22.41403613112796
220,4,6,4,2,22.655187454895515
221,4,6,4,3,23.80555280754967
222,4,6,4,4,23.80555280754967
223,4,6,4,5,23.80555280754967
224,4,6,4,6,23.80555280754967
225,4,6,13,2,22.368974193472305
226,4,6,13,3,23.89363864004545
227,4,6,13,4,23.89363864004545
228,4,6,13,5,23.89363864004545
229,4,6,13,6,23.8706343033831
230,4,7,4,2,22.484819217315
231,4,7,4,3,23.384989357538544
232,4,7,4,4,23.384989357538544
233,4,7,4,5,23.384989357538544
234,4,7,4,6,23.384989357538544
235,4,7,13,2,23.32283020189696
236,4,7,13,3,23.32283020189696
237,4,7,13,4,23.32283020189696
238,4,7,13,5,23.32283020189696
239,4,7,13,6,23.302371012001583
240,4,8,4,2,22.86489242838636
241,4,8,4,3,22.86489242838636
242,4,8,4,4,22.86489242838636
243,4,8,4,5,22.86489242838636
244,4,8,4,6,22.86489242838636
245,4,8,13,2,22.95972564708007
246,4,8,13,3,22.95972564708007
247,4,8,13,4,22.95972564708007
248,4,8,13,5,22.95972564708007
249,4,8,13,6,22.95972564708007
250,5,4,4,2,20.66077123463668
251,5,4,4,3,20.66077123463668
252,5,4,4,4,20.66077123463668
253,5,4,4,5,20.66077123463668
254,5,4,4,6,20.66077123463668
255,5,4,13,2,20.625719364485725
256,5,4,13,3,20.625719364485725
257,5,4,13,4,20.625719364485725
258,5,4,13,5,20.625719364485725
259,5,4,13,6,20.625719364485725
260,5,5,4,2,21.642105169614847
261,5,5,4,3,21.642105169614847
262,5,5,4,4,21.642105169614847
263,5,5,4,5,21.642105169614847
264,5,5,4,6,21.642105169614847
265,5,5,13,2,21.574854611618544
266,5,5,13,3,21.574854611618544
267,5,5,13,4,21.574854611618544
268,5,5,13,5,21.574854611618544
269,5,5,13,6,21.574854611618544
270,5,6,4,2,22.44572131892856
271,5,6,4,3,22.44572131892856
272,5,6,4,4,22.44572131892856
273,5,6,4,5,22.44572131892856
274,5,6,4,6,22.44572131892856
275,5,6,13,2,22.565353494242967
276,5,6,13,3,22.565353494242967
277,5,6,13,4,22.565353494242967
278,5,6,13,5,22.565353494242967
279,5,6,13,6,22.565353494242967
280,5,7,4,2,23.225115546995745
281,5,7,4,3,23.225115546995745
282,5,7,4,4,23.225115546995745
283,5,7,4,5,23.225115546995745
284,5,7,4,6,23.225115546995745
285,5,7,13,2,23.26181486334847
286,5,7,13,3,23.26181486334847
287,5,7,13,4,23.26181486334847
288,5,7,13,5,23.26181486334847
289,5,7,13,6,23.26181486334847
