,Fold,k,sigma,epsilon,Error
54,2,4,1,10,3.9432348341470216
55,2,4,1,11,3.9432348341470216
56,2,4,1,12,3.9432348341470216
57,2,4,2,10,3.009029184432005
58,2,4,2,11,3.009029184432005
59,2,4,2,12,3.009029184432005
60,2,4,3,10,2.6366909038349857
61,2,4,3,11,2.6366909038349857
62,2,4,3,12,2.6366909038349857
63,2,5,1,10,3.9149454019710865
64,2,5,1,11,3.9149454019710865
65,2,5,1,12,3.9149454019710865
66,2,5,2,10,2.886091134011277
67,2,5,2,11,2.886091134011277
68,2,5,2,12,2.886091134011277
69,2,5,3,10,2.4909824386082544
70,2,5,3,11,2.4909824386082544
71,2,5,3,12,2.4909824386082544
72,2,6,1,10,3.89925440258889
73,2,6,1,11,3.89925440258889
74,2,6,1,12,3.89925440258889
75,2,6,2,10,2.7297641322334556
76,2,6,2,11,2.7297641322334556
77,2,6,2,12,2.7297641322334556
78,2,6,3,10,2.186456946161979
79,2,6,3,11,2.186456946161979
80,2,6,3,12,2.186456946161979
81,3,4,1,10,4.327049129474782
82,3,4,1,11,4.327049129474782
83,3,4,1,12,4.327049129474782
84,3,4,2,10,3.4956257167781826
85,3,4,2,11,3.4956257167781826
86,3,4,2,12,3.4956257167781826
87,3,4,3,10,3.205927836163157
88,3,4,3,11,3.205927836163157
89,3,4,3,12,3.205927836163157
90,3,5,1,10,3.5789547980301126
91,3,5,1,11,3.5789547980301126
92,3,5,1,12,3.5789547980301126
93,3,5,2,10,2.173620498788385
94,3,5,2,11,2.173620498788385
95,3,5,2,12,2.173620498788385
96,3,5,3,10,1.663815036997377
97,3,5,3,11,1.663815036997377
98,3,5,3,12,1.663815036997377
99,3,6,1,10,3.5003602568218803
100,3,6,1,11,3.5003602568218803
101,3,6,1,12,3.5003602568218803
102,3,6,2,10,2.0166622988287313
103,3,6,2,11,2.0166622988287313
104,3,6,2,12,2.0166622988287313
105,3,6,3,10,1.4978036782046944
106,3,6,3,11,1.4978036782046944
107,3,6,3,12,1.4978036782046944
108,4,4,1,10,4.549589644079932
109,4,4,1,11,4.549589644079932
110,4,4,1,12,4.549589644079932
111,4,4,2,10,3.8933633186227308
112,4,4,2,11,3.8933633186227308
113,4,4,2,12,3.8933633186227308
114,4,4,3,10,3.6018732969442464
115,4,4,3,11,3.6018732969442464
116,4,4,3,12,3.6018732969442464
117,4,5,1,10,4.015385078461342
118,4,5,1,11,4.015385078461342
119,4,5,1,12,4.015385078461342
120,4,5,2,10,2.8001874270400555
121,4,5,2,11,2.8001874270400555
122,4,5,2,12,2.8001874270400555
123,4,5,3,10,2.325920147946926
124,4,5,3,11,2.325920147946926
125,4,5,3,12,2.325920147946926
126,4,6,1,10,3.982353530088505
127,4,6,1,11,3.982353530088505
128,4,6,1,12,3.982353530088505
129,4,6,2,10,2.708452734979249
130,4,6,2,11,2.708452734979249
131,4,6,2,12,2.708452734979249
132,4,6,3,10,2.196651771374222
133,4,6,3,11,2.196651771374222
134,4,6,3,12,2.196651771374222
135,5,4,1,10,4.504844718086143
136,5,4,1,11,4.504844718086143
137,5,4,1,12,4.504844718086143
138,5,4,2,10,3.149122288198686
139,5,4,2,11,3.149122288198686
140,5,4,2,12,3.149122288198686
141,5,4,3,10,2.511629537288664
142,5,4,3,11,2.511629537288664
143,5,4,3,12,2.511629537288664
144,5,5,1,10,4.355319165133726
145,5,5,1,11,4.355319165133726
146,5,5,1,12,4.355319165133726
147,5,5,2,10,2.762737017763925
148,5,5,2,11,2.762737017763925
149,5,5,2,12,2.762737017763925
150,5,5,3,10,2.0654760545824673
151,5,5,3,11,2.0654760545824673
152,5,5,3,12,2.0654760545824673
153,5,6,1,10,4.331691972999864
154,5,6,1,11,4.331691972999864
155,5,6,1,12,4.331691972999864
156,5,6,2,10,2.7996230740383883
157,5,6,2,11,2.7996230740383883
158,5,6,2,12,2.7996230740383883
159,5,6,3,10,2.1910032487121325
160,5,6,3,11,2.1910032487121325
161,5,6,3,12,2.1910032487121325
162,6,4,1,10,4.773399626930819
163,6,4,1,11,4.773399626930819
164,6,4,1,12,4.773399626930819
165,6,4,2,10,4.080263437847252
166,6,4,2,11,4.080263437847252
167,6,4,2,12,4.080263437847252
168,6,4,3,10,3.7663380546156446
169,6,4,3,11,3.7663380546156446
170,6,4,3,12,3.7663380546156446
171,6,5,1,10,3.973694675847868
172,6,5,1,11,3.973694675847868
173,6,5,1,12,3.973694675847868
174,6,5,2,10,2.5482666919700225
175,6,5,2,11,2.5482666919700225
176,6,5,2,12,2.5482666919700225
177,6,5,3,10,1.9458649794711491
178,6,5,3,11,1.9458649794711491
179,6,5,3,12,1.9458649794711491
180,6,6,1,10,3.912105552863482
181,6,6,1,11,3.912105552863482
182,6,6,1,12,3.912105552863482
183,6,6,2,10,2.502907863825724
184,6,6,2,11,2.502907863825724
185,6,6,2,12,2.502907863825724
186,6,6,3,10,1.9654236086659538
187,6,6,3,11,1.9654236086659538
188,6,6,3,12,1.9654236086659538
189,7,4,1,10,4.613737769877752
190,7,4,1,11,4.613737769877752
191,7,4,1,12,4.613737769877752
192,7,4,2,10,3.067543820541932
193,7,4,2,11,3.067543820541932
194,7,4,2,12,3.067543820541932
195,7,4,3,10,2.385544059545128
196,7,4,3,11,2.385544059545128
197,7,4,3,12,2.385544059545128
198,7,5,1,10,4.2438113505046005
199,7,5,1,11,4.2438113505046005
200,7,5,1,12,4.2438113505046005
201,7,5,2,10,2.5071510409877074
202,7,5,2,11,2.5071510409877074
203,7,5,2,12,2.5071510409877074
204,7,5,3,10,1.8070156550266347
205,7,5,3,11,1.8070156550266347
206,7,5,3,12,1.8070156550266347
207,7,6,1,10,4.2206431526692
208,7,6,1,11,4.2206431526692
209,7,6,1,12,4.2206431526692
210,7,6,2,10,2.560976813753053
211,7,6,2,11,2.560976813753053
212,7,6,2,12,2.560976813753053
213,7,6,3,10,1.958890760588827
214,7,6,3,11,1.958890760588827
215,7,6,3,12,1.958890760588827
216,8,4,1,10,5.938617571071062
217,8,4,1,11,5.938617571071062
218,8,4,1,12,5.938617571071062
219,8,4,2,10,4.964625916112418
220,8,4,2,11,4.964625916112418
221,8,4,2,12,4.964625916112418
222,8,4,3,10,4.6217378033904515
223,8,4,3,11,4.6217378033904515
224,8,4,3,12,4.6217378033904515
225,8,5,1,10,5.304231271319907
226,8,5,1,11,5.304231271319907
227,8,5,1,12,5.304231271319907
228,8,5,2,10,3.5105865609745934
229,8,5,2,11,3.5105865609745934
230,8,5,2,12,3.5105865609745934
231,8,5,3,10,2.77448319743295
232,8,5,3,11,2.77448319743295
233,8,5,3,12,2.77448319743295
234,8,6,1,10,5.189535945149113
235,8,6,1,11,5.189535945149113
236,8,6,1,12,5.189535945149113
237,8,6,2,10,3.208700051498743
238,8,6,2,11,3.208700051498743
239,8,6,2,12,3.208700051498743
240,8,6,3,10,2.374367243503796
241,8,6,3,11,2.374367243503796
242,8,6,3,12,2.374367243503796
243,9,4,1,10,4.7205265926883575
244,9,4,1,11,4.7205265926883575
245,9,4,1,12,4.7205265926883575
246,9,4,2,10,3.8253504488334813
247,9,4,2,11,3.8253504488334813
248,9,4,2,12,3.8253504488334813
249,9,4,3,10,3.414888742437435
250,9,4,3,11,3.414888742437435
251,9,4,3,12,3.414888742437435
252,9,5,1,10,4.225014394464743
253,9,5,1,11,4.225014394464743
254,9,5,1,12,4.225014394464743
255,9,5,2,10,2.8252678182810915
256,9,5,2,11,2.8252678182810915
257,9,5,2,12,2.8252678182810915
258,9,5,3,10,2.2461632093937367
259,9,5,3,11,2.2461632093937367
260,9,5,3,12,2.2461632093937367
261,9,6,1,10,4.115101138107206
262,9,6,1,11,4.115101138107206
263,9,6,1,12,4.115101138107206
264,9,6,2,10,2.589826928137842
265,9,6,2,11,2.589826928137842
